09:35:35:465->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-22 08-59-45.png selecionado para descriptografia.
09:35:35:563->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:564->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-22 08-59-45.png selecionado não possuí criptografia compatível.
09:35:35:564->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-07-26.png selecionado para descriptografia.
09:35:35:662->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:663->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-07-26.png selecionado não possuí criptografia compatível.
09:35:35:663->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-34-26.png selecionado para descriptografia.
09:35:35:761->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:761->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-34-26.png selecionado não possuí criptografia compatível.
09:35:35:761->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-08 09-24-49.png selecionado para descriptografia.
09:35:35:859->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:859->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-08 09-24-49.png selecionado não possuí criptografia compatível.
09:35:35:860->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-26-47.png selecionado para descriptografia.
09:35:35:958->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:959->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-26-47.png selecionado não possuí criptografia compatível.
09:35:35:959->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-05-33.png selecionado para descriptografia.
09:35:36:055->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:36:056->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-05-33.png selecionado não possuí criptografia compatível.
09:35:36:056->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-26 15-07-38.png selecionado para descriptografia.
09:35:36:153->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:36:153->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-26 15-07-38.png selecionado não possuí criptografia compatível.
09:54:01:227->INFO - c.v.v.cryptography.Decrypt          : Diretório de arquivos encriptados /home/msmaniotto/teste123/encript selecionado.
09:54:01:230->INFO - c.v.v.cryptography.Decrypt          : Diretório destino /home/msmaniotto/teste123/testeSave selecionado.
09:54:01:231->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/tree-736885__480 (26ª cópia).jpg selecionado para descriptografia.
09:54:01:547->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.BadPaddingException: Given final block not properly padded. Such issues can arise if a bad key is used during decryption.
09:54:01:547->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/teste123/encript/tree-736885__480 (26ª cópia).jpg selecionado não possuí criptografia compatível.
09:54:01:547->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/nbactions (16ª cópia).xml selecionado para descriptografia.
09:54:01:658->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:54:01:658->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/teste123/encript/nbactions (16ª cópia).xml selecionado não possuí criptografia compatível.
